,Player,Nation,Pos,90s,Squad,Comp,Age,Goals,Offensive Rate,Defensive Rate,Passing Rate,Playmaking Rate,Physical Rate,Overall Rating
110,Abdoulaye Bamba,CIV,DF,6.2,Angers,Ligue 1,32,0,0.0,18.878541653784993,16.206849965682263,1.613099726438711,67.418353055798,33.83921779124497
111,Jonathan Bamba,FRA,FW,16.2,Lille,Ligue 1,26,4,39.916794756309635,31.04388509735236,59.233164093998624,40.421863962656744,70.78030595192185,50.99152897074465
112,Patrick Bamford,ENG,FW,6.6,Leeds United,Premier League,29,1,20.784869867723295,9.92175011521046,14.679089108798223,5.594570041893254,44.0419405629384,23.397325037006464
113,Lameck Banda,ZAM,FW,11.7,Lecce,Serie A,22,1,20.995387185902526,18.376033387504755,27.427165724807672,33.91114170570385,42.13331069847603,28.5205049301304
114,Filippo Bandinelli,ITA,MF,16.7,Empoli,Serie A,27,2,22.646260122484286,34.62978736927375,56.64444851305828,18.461246875025573,58.124837388847794,36.74780745147728
115,Léo Baptistão,BRA,FW,10.5,Almería,La Liga,30,3,30.42668767598634,23.64925381865072,30.644207244324523,21.357284643235836,56.28463271561086,36.39156739518061
116,Melvin Bard,FRA,DF,16.6,Nice,Ligue 1,22,0,1.2957064879321845,62.94162508143925,38.864712025155576,4.798827143168925,77.17539123551262,60.47458175787252
117,Nicolò Barella,ITA,MF,17.9,Inter,Serie A,26,5,36.46704887378887,50.609065865718726,62.00230165125157,44.69105437391558,85.54204640022735,59.53883091604472
118,Ross Barkley,ENG,FW,6.8,Nice,Ligue 1,29,3,30.70153165693732,8.290866500405066,25.627884070726964,20.362485312995364,34.118172407493866,32.491181050517035
119,Harvey Barnes,ENG,MF,18.8,Leicester City,Premier League,25,8,56.3495319652108,30.888580647369157,45.70992594709832,28.74145011317028,70.54417764426493,44.980491897318394
120,Leandro Barreiro Martins,LUX,MF,12.0,Mainz 05,Bundesliga,23,0,18.9460036378024,37.57502133964919,29.902959595403612,18.11605260681092,64.75125337446973,31.099615868986117
121,Musa Barrow,GAM,FW,8.5,Bologna,Serie A,24,2,24.54681020590736,7.90995021106506,30.34182769302826,18.1600870668975,38.26293462155196,28.651520994797
122,Federico Baschirotto,ITA,DF,22.0,Lecce,Serie A,26,3,22.61657827941882,73.67764357378648,47.87923999972206,2.261294718066213,84.17805021616904,70.97816485114112
123,Alessandro Bastoni,ITA,DF,14.1,Inter,Serie A,23,0,14.018921387324248,49.68034561379036,40.81993042432467,20.202615838970285,84.73181547366751,60.44096761045429
124,Simone Bastoni,ITA,MF,10.5,Spezia,Serie A,26,2,22.543352092872194,35.02128599634551,30.96116560968778,11.736988374236496,76.04231885596694,29.102590384101376
125,Rodrigo Battaglia,ARG,MF,7.3,Mallorca,La Liga,31,0,0.8546979543890012,22.823359194862206,17.03172583405534,1.2896446438971376,61.38544914601911,14.375918530840899
126,Maximilian Bauer,GER,DF,11.6,Augsburg,Bundesliga,23,0,3.4708282226938434,40.884032166237375,24.900067803512172,5.304694294402669,75.86822822579009,48.633224751073094
127,Christoph Baumgartner,AUT,MF,17.8,Hoffenheim,Bundesliga,23,5,41.15691571134212,42.64736145640825,48.76594736620577,55.33184324355677,73.15647390748371,60.80656881444211
128,Cyrille Bayala,BFA,MF,14.1,Ajaccio,Ligue 1,26,1,19.712734059060846,39.17684037308129,31.666276077757015,14.283813350774544,59.812118382764055,29.015480020803572
129,Rodrigo Becão,BRA,DF,14.7,Udinese,Serie A,27,1,17.475538630075544,54.180762904421584,38.44699767969074,7.50015782165641,89.45338664826356,62.793269654596834
130,Sheraldo Becker,SUR,FW,16.2,Union Berlin,Bundesliga,28,7,46.263523187940464,19.317215235723634,49.76970300999084,30.429203113042867,60.81961556417076,51.67538868884976
131,Kevin Behrens,GER,FW,8.4,Union Berlin,Bundesliga,32,4,33.12670790889109,20.310917476723674,24.966386010618844,13.561880131891147,52.288550145127566,36.20973275468783
132,Jérémie Bela,ANG,DF,7.1,Clermont Foot,Ligue 1,29,1,14.262824383965064,28.77235710005086,14.651907239715031,10.569416890593688,82.77055925583338,46.12253427809845
133,Youcef Belaïli,ALG,MF,8.7,Ajaccio,Ligue 1,30,5,34.68581073791398,18.25769108852536,30.444749084960854,31.038517388423447,62.43327176406114,37.94559963321275
134,Haris Belkebla,ALG,MF,16.6,Brest,Ligue 1,29,1,15.999683263645647,47.379425869486376,46.85130448551327,10.694978838613011,65.84824435312592,31.64298600491552
135,Stefan Bell,GER,DF,12.7,Mainz 05,Bundesliga,31,0,1.3217246905011037,47.09088284926724,34.17714117485,4.94032625587438,75.33643209450544,52.06714003459556
136,Armel Bella Kotchap,GER,DF,11.4,Southampton,Premier League,21,0,6.958440653711986,46.29487810060085,26.296822731443903,7.343772479605132,82.69414227966607,54.24787532777588
137,Jean-Ricner Bellegarde,FRA,MF,17.7,Strasbourg,Ligue 1,24,1,22.698427469014902,40.124454053805906,68.63458037007885,37.364236096144495,72.24404506913457,52.564586510996214
138,Jude Bellingham,ENG,MF,18.8,Dortmund,Bundesliga,19,4,39.78462638956266,63.68753229492013,60.455178765372494,56.20319250933547,85.12637369094078,67.60362270102166
139,Fran Beltrán,ESP,MF,17.9,Celta Vigo,La Liga,24,0,9.488322528064206,31.680144295986036,59.03839432317288,14.349840827496,65.41701341668866,33.933354884851056
140,Eliesse Ben Seghir,FRA,FW,5.2,Monaco,Ligue 1,17,3,30.705024109759744,10.898915936545519,17.01398484072287,11.077631681107144,61.08841328156489,33.681574496338065
141,Wissam Ben Yedder,FRA,FW,12.6,Monaco,Ligue 1,32,14,71.03309863906233,18.747695872364996,36.40915959094116,27.222592959367713,55.44695766249001,67.56273560423641
142,Ismaël Bennacer,ALG,MF,15.7,Milan,Serie A,25,1,15.572313977521452,45.95171615254292,68.78916522785792,28.083083055137458,73.50869002738035,47.2835059346053
143,Saïd Benrahma,ALG,FW,13.3,West Ham,Premier League,27,3,33.205612014412736,22.609541177660667,52.07702798551117,42.193452969210185,54.57202589968946,43.042835276879416
144,Ramy Bensebaini,ALG,DF,17.9,M'Gladbach,Bundesliga,27,5,33.77604856064564,66.32975358583468,46.71985594529895,13.531801429886157,90.12929547161387,72.09237778204711
145,Nabil Bentaleb,ALG,MF,16.9,Angers,Ligue 1,28,2,24.40087223267473,61.28862557938466,54.328472463191105,28.4277569232447,86.04339618811781,48.37131837503692
146,Rodrigo Bentancur,URU,MF,16.7,Tottenham,Premier League,25,5,39.95078973785289,51.439311043282764,47.53124023207644,22.065702699591533,77.26876002192138,42.82144121095317
147,Karim Benzema,FRA,FW,11.6,Real Madrid,La Liga,35,9,56.627337417819746,22.435428029179526,53.35036190623947,30.447134529784876,80.47983437189194,62.228517801186314
148,Domenico Berardi,ITA,FW,10.2,Sassuolo,Serie A,28,4,37.07491954618747,18.0729573503746,38.20793863211374,26.902463175975388,59.96571273328536,42.94161324168089
